"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2015-16","Spring","CS","4974","Independent Study","Ribbens","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","12548","  3"
"2015-16","Spring","CS","4994","Undergraduate Research","Cao","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","12550","  3"
"2015-16","Spring","CS","4994","Undergraduate Research","Davanloo Tajbakhsh","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","12550","  3"
"2015-16","Spring","CS","4994","Undergraduate Research","Fox","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","12550","  3"
"2015-16","Spring","CS","4994","Undergraduate Research","Ribbens","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","12550","  3"
"2016-17","Fall","CS","5560","Fundamentals of Info Security","Park","2.94","0","20","20","20","20","0","20","0","0","0","0","0","0","5","82505","  3"
"2016-17","Fall","CS","5824","Advanced Machine Learning","Lee","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","82514","  3"
"2016-17","Fall","CS","6304","TS: Adv Compliers & Comp Arch","Jung","3.76","20","80","0","0","0","0","0","0","0","0","0","0","0","5","82531","  3"
"2016-17","Fall","CS","3654","Intro Data Analytics & Visual","Lucero","3.74","80","0","0","0","20","0","0","0","0","0","0","0","0","5","89267","  3"
"2016-17","Spring","CS","5466","Numerical Analysis","Beattie","3.34","20","20","20","20","20","0","0","0","0","0","0","0","0","5","12640","  3"
"2016-17","Spring","CS","5614","Database Management Systems","Lu","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","19583","  3"
"2016-17","Spring","CS","4994","Undergraduate Research","Gabbard","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","19997","  3"
"2017-18","Fall","CS","4994","Undergraduate Research","Gabbard","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","82592","  3"
"2017-18","Fall","CS","5465","Numerical Analysis","Borggaard","3","40","20","20","0","0","0","0","0","0","0","0","20","0","5","82600","  3"
"2017-18","Fall","CS","5584","Network Security","Zhang","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","89457","  3"
"2017-18","Fall","CS","6204","AT: Security & Privacy IoT","Lou","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","89560","  3"
"2017-18","Spring","CS","5526","Data Analytics","Deng","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","12788","  3"
